Channel name,markers
BUV395-A_CD3,CD3
BUV496-A_ICOS,ICOS
BUV563-A_CD19,CD19
BUV615-A_CD8,CD8
BUV661-A_CD4,CD4
BUV737-A_CD27,CD27
BV421-A_CXCR3,CXCR3
V450-A_CPT1A,CPT1A
BV480-A_PRDX2,PRDX2
BV510-A_IGD,IGD
BV570-A_CD45RO,CD45RO
BV605-A_Ki67,Ki67
BV650-A_CCR7,CCR7
BV711-A_CD95,CD95
BV785-A_CXCR5,CXCR5
Alexa Fluor 488-A_GLUT1,GLUT1
Alexa Fluor 532-A_CD127,CD127
PerCP-A_GAPDH,GAPDH
RB780-A_G6PD,G6PD
Mitotracker Red CMX-A,Mitotracker
PE-Fire 640-A_PD-1,PD1
RY743-A_CD98,CD98
Alexa Fluor 647-A_ACC1,ACC1
Alexa Fluor 700-A_CD38,CD38
APC-Fire 810-A_CD25,CD25
